PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
509,3,0,28,0,0,4001,22.525,2,-1
563,2,0,28,0,0,218629,13.5,2,-1
636,2,1,28,0,0,237668,13,2,1
757,3,0,28,0,0,350042,7.7958,2,-1
849,2,0,28,0,1,248727,33,2,-1
875,2,1,28,1,0,3381,24,0,1
884,2,0,28,0,0,34068,10.5,2,-1
58,3,0,28.5,0,0,2697,7.2292,0,-1
736,3,0,28.5,0,0,54636,16.1,2,-1
54,2,1,29,1,0,2926,26,2,1
67,2,1,29,0,0,29395,10.5,2,1
82,3,0,29,0,0,345779,9.5,2,1
91,3,0,29,0,0,343276,8.05,2,-1
118,2,0,29,1,0,11668,21,2,-1
134,2,1,29,1,0,228414,26,2,1
232,3,0,29,0,0,347067,7.775,2,-1
243,2,0,29,0,0,14263,10.5,2,-1
252,3,1,29,1,1,347054,10.4625,2,-1
256,3,1,29,0,2,2650,15.2458,0,1
337,1,0,29,1,0,113776,66.6,2,-1
362,2,0,29,1,0,2167,27.7208,0,-1
423,3,0,29,0,0,315082,7.875,2,-1
456,3,0,29,0,0,349240,7.8958,0,1
478,3,0,29,1,0,3460,7.0458,2,-1
511,3,0,29,0,0,382651,7.75,1,1
568,3,1,29,0,4,349909,21.075,2,-1
714,3,0,29,0,0,7545,9.4833,2,-1
731,1,1,29,0,0,24160,211.3375,2,1
783,1,0,29,0,0,113501,30,2,-1
80,3,1,30,0,0,364516,12.475,2,1
158,3,0,30,0,0,392090,8.05,2,-1
179,2,0,30,0,0,250653,13,2,-1
214,2,0,30,0,0,250646,13,2,-1
220,2,0,30,0,0,14208,10.5,2,-1
245,3,0,30,0,0,2694,7.225,0,-1
254,3,0,30,1,0,5,16.1,2,-1
258,1,1,30,0,0,110152,86.5,2,1
287,3,0,30,0,0,345774,9.5,2,1
309,2,0,30,1,0,3381,24,0,-1
310,1,1,30,0,0,17485,56.9292,0,1
323,2,1,30,0,0,234818,12.35,1,1
366,3,0,30,0,0,7076,7.25,2,-1
419,2,0,30,0,0,28228,13,2,-1
453,1,0,30,0,0,113051,27.75,0,-1
489,3,0,30,0,0,5,8.05,2,-1
521,1,1,30,0,0,12749,93.5,2,1
535,3,1,30,0,0,315084,8.6625,2,-1
538,1,1,30,0,0,17761,106.425,0,1
607,3,0,30,0,0,349246,7.8958,2,-1
727,2,1,30,3,0,31027,21,2,1
748,2,1,30,0,0,250648,13,2,1
799,3,0,30,0,0,2685,7.2292,0,-1
800,3,1,30,1,1,345773,24.15,2,-1
843,1,1,30,0,0,113798,31,0,1
768,3,1,30.5,0,0,364850,7.75,1,-1
815,3,0,30.5,0,0,364499,8.05,2,-1
19,3,1,31,1,0,345763,18,2,-1
216,1,1,31,1,0,35273,113.275,0,1
319,1,1,31,0,2,36928,164.8667,2,1
329,3,1,31,1,1,363291,20.525,2,1
397,3,1,31,0,0,350407,7.8542,2,-1
440,2,0,31,0,0,18723,10.5,2,-1
638,2,0,31,1,1,31921,26.25,2,-1
672,1,0,31,1,0,12750,52,2,-1
674,2,0,31,0,0,244270,13,2,1
691,1,0,31,1,0,17474,57,2,1
745,3,0,31,0,0,2,7.925,2,1
750,3,0,31,0,0,335097,7.75,1,-1
798,3,1,31,0,0,349244,8.6833,2,1
802,2,1,31,1,1,31921,26.25,2,1
806,3,0,31,0,0,347063,7.775,2,-1
818,2,0,31,1,1,2079,37.0042,0,-1
868,1,0,31,0,0,17590,50.4958,2,-1
71,2,0,32,0,0,33111,10.5,2,-1
75,3,0,32,0,0,1601,56.4958,2,1
191,2,1,32,0,0,234604,13,2,1
207,3,0,32,1,0,3101278,15.85,2,-1
219,1,1,32,0,0,11813,76.2917,0,1
383,3,0,32,0,0,2,7.925,2,-1
430,3,0,32,0,0,392078,8.05,2,1
520,3,0,32,0,0,349242,7.8958,2,-1
544,2,0,32,1,0,2908,26,2,1
570,3,0,32,0,0,350417,7.8542,2,1
580,3,0,32,0,0,2,7.925,2,1
633,1,0,32,0,0,13214,30.5,0,1
637,3,0,32,0,0,2,7.925,2,-1
658,3,1,32,1,1,364849,15.5,1,-1
666,2,0,32,2,0,14879,73.5,2,-1
770,3,0,32,0,0,8471,8.3625,2,-1
839,3,0,32,0,0,1601,56.4958,2,1
891,3,0,32,0,0,370376,7.75,1,-1
123,2,0,32.5,1,0,237736,30.0708,0,-1
124,2,1,32.5,0,0,27267,13,2,1
86,3,1,33,3,0,3101278,15.85,2,1
104,3,0,33,0,0,7540,8.6542,2,-1
131,3,0,33,0,0,349241,7.8958,0,-1
240,2,0,33,0,0,1585,12.275,2,-1
286,3,0,33,0,0,349239,8.6625,0,-1
413,1,1,33,1,0,19928,90,1,1
473,2,1,33,1,2,34651,27.75,2,1
507,2,1,33,0,2,26360,26,2,1
549,3,0,33,1,1,363291,20.525,2,-1
720,3,0,33,0,0,347062,7.775,2,-1
753,3,0,33,0,0,345780,9.5,2,-1
760,1,1,33,0,0,110152,86.5,2,1
810,1,1,33,1,0,113806,53.1,2,1
873,1,0,33,0,0,695,5,2,-1
882,3,0,33,0,0,349257,7.8958,2,-1
22,2,0,34,0,0,248698,13,2,1
99,2,1,34,0,1,231919,23,2,1
100,2,0,34,1,0,244367,26,2,-1
203,3,0,34,0,0,3101264,6.4958,2,-1
406,2,0,34,1,0,28664,21,2,-1
417,2,1,34,1,1,28220,32.5,2,1
448,1,0,34,0,0,113794,26.55,2,1
462,3,0,34,0,0,364506,8.05,2,-1
477,2,0,34,1,0,31027,21,2,-1
517,2,1,34,0,0,34260,10.5,2,1
577,2,1,34,0,0,243880,13,2,1
617,3,0,34,1,1,347080,14.4,2,-1
723,2,0,34,0,0,12233,13,2,-1
759,3,0,34,0,0,363294,8.05,2,-1
801,2,0,34,0,0,250647,13,2,-1
844,3,0,34.5,0,0,2683,6.4375,0,-1
4,1,1,35,1,0,113803,53.1,2,1
5,3,0,35,0,0,373450,8.05,2,-1
21,2,0,35,0,0,239865,26,2,-1
212,2,1,35,0,0,13528,21,2,1
231,1,1,35,1,0,36973,83.475,2,1
259,1,1,35,0,0,17755,512.3292,0,1
270,1,1,35,0,0,17760,135.6333,2,1
280,3,1,35,1,1,2673,20.25,2,1
364,3,0,35,0,0,3101310,7.05,2,-1
384,1,1,35,1,0,113789,52,2,1
487,1,1,35,1,0,19943,90,2,1
591,3,0,35,0,0,2,7.125,2,-1
605,1,0,35,0,0,111426,26.55,0,1
615,3,0,35,0,0,364512,8.05,2,-1
702,1,0,35,0,0,17475,26.2875,2,1
738,1,0,35,0,0,17755,512.3292,0,1
813,2,0,35,0,0,28206,10.5,2,-1
848,3,0,35,0,0,349213,7.8958,0,-1
180,3,0,36,0,0,0,0,2,-1
190,3,0,36,0,0,349247,7.8958,2,-1
266,2,0,36,0,0,17248,10.5,2,-1
293,2,0,36,0,0,2163,12.875,0,-1
326,1,1,36,0,0,17760,135.6333,0,1
328,2,1,36,0,0,28551,13,2,1
345,2,0,36,0,0,229236,13,2,-1
388,2,1,36,0,0,27849,13,2,1
391,1,0,36,1,2,113760,120,2,1
451,2,0,36,1,2,34651,27.75,2,-1
513,1,0,36,0,0,17473,26.2875,2,1
519,2,1,36,1,0,226875,26,2,1
541,1,1,36,0,2,5735,71,2,1
560,3,1,36,1,0,345572,17.4,2,1
573,1,0,36,0,0,17474,26.3875,2,1
584,1,0,36,0,0,13049,40.125,0,-1
596,3,0,36,1,1,345773,24.15,2,-1
606,3,0,36,1,0,349910,15.55,2,-1
664,3,0,36,0,0,349210,7.4958,2,-1
680,1,0,36,0,1,17755,512.3292,0,1
742,1,0,36,1,0,19877,78.85,2,-1
764,1,1,36,1,2,113760,120,2,1
149,2,0,36.5,0,2,230080,26,2,-1
105,3,0,37,2,0,3101276,7.925,2,-1
138,1,0,37,1,0,113803,53.1,2,-1
249,1,0,37,1,1,11751,52.5542,2,1
274,1,0,37,0,1,17596,29.7,0,-1
504,3,1,37,0,0,4135,9.5875,2,-1
595,2,0,37,1,0,29037,26,2,-1
2,1,1,38,1,0,17599,71.2833,0,1
26,3,1,38,1,5,347077,31.3875,2,1
62,1,1,38,0,0,113572,80,2,1
109,3,0,38,0,0,349249,7.8958,2,-1
225,1,0,38,1,0,19943,90,2,1
333,1,0,38,0,1,17582,153.4625,2,-1
358,2,1,38,0,0,237671,13,2,-1
466,3,0,38,0,0,3101306,7.05,2,-1
472,3,0,38,0,0,315089,8.6625,2,-1
717,1,1,38,0,0,17757,227.525,0,1
823,1,0,38,0,0,19972,0,2,-1
14,3,0,39,1,5,347082,31.275,2,-1
401,3,0,39,0,0,2,7.925,2,1
529,3,0,39,0,0,3101296,7.925,2,-1
559,1,1,39,1,1,110413,79.65,2,1
578,1,1,39,1,0,13507,55.9,2,1
582,1,1,39,1,1,17421,110.8833,0,1
611,3,1,39,1,5,347082,31.275,2,-1
706,2,0,39,0,0,250655,26,2,-1
796,2,0,39,0,0,28213,13,2,-1
807,1,0,39,0,0,112050,0,2,-1
809,2,0,39,0,0,248723,13,2,-1
812,3,0,39,0,0,4,24.15,2,-1
836,1,1,39,1,1,17756,83.1583,0,1
886,3,1,39,0,5,382652,29.125,1,-1
31,1,0,40,0,0,17601,27.7208,0,-1
41,3,1,40,1,0,7546,9.475,2,-1
162,2,1,40,0,0,33595,15.75,2,1
189,3,0,40,1,1,364849,15.5,1,-1
210,1,0,40,0,0,112277,31,0,1
264,1,0,40,0,0,112059,0,2,-1
320,1,1,40,1,1,16966,134.5,0,1
347,2,1,40,0,0,31418,13,2,1
361,3,0,40,1,4,347088,27.9,2,-1
562,3,0,40,0,0,349251,7.8958,2,-1
610,1,1,40,0,0,17582,153.4625,2,1
662,3,0,40,0,0,2623,7.225,0,-1
671,2,1,40,1,1,29750,39,2,1
154,3,0,40.5,0,2,5,14.5,2,-1
526,3,0,40.5,0,0,367232,7.75,1,-1
255,3,1,41,0,2,370129,20.2125,2,-1
273,2,1,41,0,1,250644,19.5,2,1
338,1,1,41,0,0,16966,134.5,0,1
639,3,1,41,0,5,3101295,39.6875,2,-1
762,3,0,41,0,0,2,7.125,2,-1
861,3,0,41,2,0,350026,14.1083,2,-1
36,1,0,42,1,0,113789,52,2,-1
150,2,0,42,0,0,244310,13,2,-1
198,3,0,42,0,1,4579,8.4042,2,-1
218,2,0,42,1,0,243847,27,2,-1
289,2,0,42,0,0,237798,13,2,1
350,3,0,42,0,0,315088,8.6625,2,-1
381,1,1,42,0,0,17757,227.525,0,1
433,2,1,42,1,0,3085,26,2,1
622,1,0,42,1,0,11753,52.5542,2,1
700,3,0,42,0,0,348121,7.65,2,-1
708,1,0,42,0,0,17476,26.2875,2,1
846,3,0,42,0,0,5547,7.55,2,-1
866,2,1,42,0,0,236852,13,2,1
315,2,0,43,1,1,13529,26.25,2,-1
669,3,0,43,0,0,5,8.05,2,-1
679,3,1,43,1,6,2144,46.9,2,-1
780,1,1,43,0,1,24160,211.3375,2,1
819,3,0,43,0,0,7075,6.45,2,-1
161,3,0,44,0,1,371362,16.1,2,-1
195,1,1,44,0,0,17610,27.7208,0,1
237,2,0,44,1,0,26707,26,2,-1
246,1,0,44,2,0,19928,90,1,-1
415,3,0,44,0,0,2,7.925,2,1
524,1,1,44,0,1,111361,57.9792,0,1
604,3,0,44,0,0,364511,8.05,2,-1
697,3,0,44,0,0,363592,8.05,2,-1
855,2,1,44,1,0,244252,26,2,-1
63,1,0,45,1,0,36973,83.475,2,-1
130,3,0,45,0,0,347061,6.975,2,-1
168,3,1,45,1,4,347088,27.9,2,-1
188,1,0,45,0,0,111428,26.55,2,1
277,3,1,45,0,0,347073,7.75,2,-1
339,3,0,45,0,0,7598,8.05,2,1
340,1,0,45,0,0,113784,35.5,2,-1
363,3,1,45,0,1,2691,14.4542,0,-1
441,2,1,45,1,1,13529,26.25,2,1
537,1,0,45,0,0,113050,26.55,2,-1
707,2,1,45,0,0,223596,13.5,2,1
857,1,1,45,1,1,36928,164.8667,2,1
204,3,0,45.5,0,0,2628,7.225,0,-1
332,1,0,45.5,0,0,113043,28.5,2,-1
93,1,0,46,1,0,5734,61.175,2,-1
398,2,0,46,0,0,28403,26,2,-1
790,1,0,46,0,0,17593,79.2,0,-1
111,1,0,47,0,0,110465,52,2,-1
133,3,1,47,1,0,5,14.5,2,-1
463,1,0,47,0,0,111320,38.5,2,-1
516,1,0,47,0,0,36967,34.0208,2,-1
587,2,0,47,0,0,237565,15,2,-1
593,3,0,47,0,0,5,7.25,2,-1
663,1,0,47,0,0,5727,25.5875,2,-1
872,1,1,47,1,1,11751,52.5542,2,1
874,3,0,47,0,0,345765,9,2,-1
461,1,0,48,0,0,19952,26.55,2,1
464,2,0,48,0,0,234360,13,2,-1
557,1,1,48,1,0,11755,39.6,0,1
646,1,0,48,1,0,17572,76.7292,0,1
713,1,0,48,1,0,19996,52,2,1
737,3,1,48,1,3,6608,34.375,2,-1
755,2,1,48,1,2,220845,65,2,1
772,3,0,48,0,0,350047,7.8542,2,-1
863,1,1,48,0,0,17466,25.9292,2,1
53,1,1,49,1,0,17572,76.7292,0,1
454,1,0,49,1,0,17453,89.1042,0,1
598,3,0,49,0,0,0,0,2,-1
600,1,0,49,1,0,17485,56.9292,0,1
699,1,0,49,1,1,17421,110.8833,0,-1
797,1,1,49,0,0,17465,25.9292,2,1
178,1,1,50,0,0,17595,28.7125,0,-1
260,2,1,50,0,1,230433,26,2,1
300,1,1,50,0,1,17558,247.5208,0,1
435,1,0,50,1,0,13507,55.9,2,-1
459,2,1,50,0,0,13531,10.5,2,1
483,3,0,50,0,0,5,8.05,2,-1
527,2,1,50,0,0,14258,10.5,2,1
545,1,0,50,1,0,17761,106.425,0,-1
661,1,0,50,2,0,17611,133.65,2,1
724,2,0,50,0,0,250643,13,2,-1
151,2,0,51,0,0,1166,12.525,2,-1
156,1,0,51,0,1,17597,61.3792,0,-1
223,3,0,51,0,0,21440,8.05,2,-1
407,3,0,51,0,0,347064,7.75,2,-1
632,3,0,51,0,0,347743,7.0542,2,-1
766,1,1,51,1,0,13502,77.9583,2,1
858,1,0,51,0,0,113055,26.55,2,1
263,1,0,52,1,1,110413,79.65,2,-1
450,1,0,52,0,0,113786,30.5,2,1
592,1,1,52,1,0,36947,78.2667,0,1
696,2,0,52,0,0,248731,13.5,2,-1
715,2,0,52,0,0,250647,13,2,-1
821,1,1,52,1,1,12749,93.5,2,1
572,1,1,53,2,0,11769,51.4792,2,1
7,1,0,54,0,0,17463,51.8625,2,-1
125,1,0,54,0,1,35281,77.2875,2,-1
250,2,0,54,1,0,244252,26,2,-1
318,2,0,54,0,0,29011,14,2,-1
497,1,1,54,1,0,36947,78.2667,0,1
514,1,1,54,1,0,17603,59.4,0,1
583,2,0,54,0,0,28403,26,2,-1
775,2,1,54,1,3,29105,23,2,1
16,2,1,55,0,0,248706,16,2,1
493,1,0,55,0,0,113787,30.5,2,-1
153,3,0,55.5,0,0,5,8.05,2,-1
175,1,0,56,0,0,17764,30.6958,0,-1
468,1,0,56,0,0,113792,26.55,2,-1
648,1,0,56,0,0,13213,35.5,0,1
880,1,1,56,0,1,11767,83.1583,0,1
627,2,0,57,0,0,219533,12.35,1,-1
773,2,1,57,0,0,3,10.5,2,-1
12,1,1,58,0,0,113783,26.55,2,1
196,1,1,58,0,0,17569,146.5208,0,1
269,1,1,58,0,1,17582,153.4625,2,1
488,1,0,58,0,0,11771,29.7,0,-1
660,1,0,58,0,2,35273,113.275,0,-1
95,3,0,59,0,0,364500,7.25,2,-1
233,2,0,59,0,0,237442,13.5,2,-1
367,1,1,60,1,0,110813,75.25,0,1
588,1,0,60,1,1,13567,79.2,0,1
685,2,0,60,1,1,29750,39,2,-1
695,1,0,60,0,0,113800,26.55,2,-1
171,1,0,61,0,0,111240,33.5,2,-1
327,3,0,61,0,0,345364,6.2375,2,-1
626,1,0,61,0,0,36963,32.3208,2,-1
253,1,0,62,0,0,113514,26.55,2,-1
556,1,0,62,0,0,113807,26.55,2,-1
571,2,0,62,0,0,752,10.5,2,1
830,1,1,62,0,0,113572,80,2,1
276,1,1,63,1,0,13502,77.9583,2,1
484,3,1,63,0,0,4134,9.5875,2,1
439,1,0,64,1,4,19950,263,2,-1
546,1,0,64,0,0,693,26,2,-1
55,1,0,65,0,1,113509,61.9792,0,-1
281,3,0,65,0,0,336439,7.75,1,-1
457,1,0,65,0,0,13509,26.55,2,-1
34,2,0,66,0,0,24579,10.5,2,-1
673,2,0,70,0,0,24580,10.5,2,-1
746,1,0,70,1,1,5735,71,2,-1
117,3,0,70.5,0,0,370369,7.75,1,-1
97,1,0,71,0,0,17754,34.6542,0,-1
494,1,0,71,0,0,17609,49.5042,0,-1
852,3,0,74,0,0,347060,7.775,2,-1
631,1,0,80,0,0,27042,30,2,1